Lesson,CardNum,Maranao,WordNote,Cebuano Word,WordNote,English,EnglishNote,Grammar,Category,SubCategory1,SubCategory2,ACTFLEst,Type
6,80,Walay,,Balay,,House,,Noun,Home,Building,Building,Novice-Mid,N
6,81,Rowang,,Kwarto,,Room,,Noun,Home,Room,Room,Novice-High,N
6,82,Sala,,Sala,,Living room,,Noun,Home,Room,Room,Novice-High,N
6,83,Ontoda,,Bangko,,Chair,,Noun,Home,Furniture,Furniture,Novice-Mid,N
6,84,Igaan,,Higdaanan,,Sleeping place,,Noun,Home,Furniture,Sleeping,Novice-High,N
6,85,Toroganan,,Tuluganan,,Sleeping room,,Noun,Home,Room,Sleeping,Novice-High,N
6,86,Katri,,Katre,,Bed frame,,Noun,Home,Furniture,Sleeping,Novice-High,N
6,87,Babay,,Babaye,,Female,,Noun,World,Person,Gender,Novice-Mid,N
6,88,Mama,,Lalaki,,Male,,Noun,World,Person,Gender,Novice-Mid,N
6,89,Katilyas,,Cr,,Toilet room,,Noun,Home,Room,Facility,Novice-High,N
6,90,giyoto,,Kato,,"That, far",,Demonstrative pronoun,Function Word,Demonstrative,Demonstrative,Novice-Mid,N
7,91,Pelagoy,,Dagan,,Run,,Verb,You,Personal Action,Movement,Novice-High,N
7,92,Tareg,,Hunong,,Stop,,Verb,You,Personal Action,Movement,Novice-High,N
7,93,Magantap,,Padulong,,Direction,,Verb phrase,You,Personal Action,Movement,Intermediate-Low,N
7,94,Pelalakaw,,Lakaw,,Walk,,Verb,You,Personal Action,Movement,Novice-High,N
7,95,Sii / Sisaya,,Diri/Dinhi,,Here,,Adverb,You,Personal Location,Proximity,Novice-Mid,N
7,96,Roo,,Didto,,Over there,,Adverb,World,Location,Distance,Novice-Mid,N
7,97,San,,Diha/Dinha,,There,,Adverb,World,Location,Proximity,Novice-Mid,N
7,98,Swidad,,Siyudad,,City,,Noun,World,Geography,Urban,Novice-High,N
7,99,Longsod,,Lungsod,,Town,,Noun,World,Geography,Urban,Novice-High,N
7,100,Baranggay,,Barangay,,Barangay,,Noun,World,Geography,Administrative,Novice-High,N
7,101,Iskwilaan,,Eskwela-han,,School,,Noun,World,Location,Educational,Novice-High,N
7,102,Padian,,Merkado,,Market,,Noun,World,Location,Commercial,Novice-High,N
7,103,Tinda,,Tinda-han,,Store,,Noun,World,Location,Commercial,Novice-High,N
7,104,Ospital,,Ospital,,Hospital,,Noun,World,Location,Medical,Novice-High,N
7,105,Monisipyo,,Munisipyo,,Govt HQ,,Noun,World,Location,Government,Novice-High,N
7,106,Simbaan,,Simba-han,,Church,,Noun,World,Location,Religious,Novice-High,N
7,107,Bangko,,Banko,,Bank,,Noun,World,Location,Financial,Novice-High,N
7,108,Marani,,Duol,,Near,,Adjective / Locative adverb,Function Word,Proximity,Proximity,Novice-Mid,N
7,109,Mawatan,,Layo,,Far,,Adjective / Locative adverb,Function Word,Proximity,Proximity,Novice-Mid,N
7,110,Hadapan,,Atubangan,,Front of,,Noun / Locative,You,Personal Location,Position,Novice-Mid,N
9,111,Antawaa,,Kinsa,,Who,,Interrogative pronoun,Function Word,Question Word,Question Word,Novice-Mid,N
9,112,Di,,Dili,,Not,,Adverb / Negator,Function Word,Negation,Negation,Novice-Low,N
9,113,Pipideng,,Piyong,,Close eyes,,Verb,You,Personal Action,Face Action,Novice-High,N
9,114,Bekar,,Bukha,,Open eyes / mouth,,Verb,You,Personal Action,Face Action,Novice-High,N
9,115,Lekebi,,Sirado,,Close,,Adjective,Function Word,State,State,Novice-High,N
9,116,Demis,,Ngisi,,Smile,,Verb / Noun,You,Personal Action,Facial Expression,Novice-High,N
9,117,Mata,,Mata,,Eye,,Noun,You,Body Part,Face,Novice-High,N
9,118,Kiray,,Kilay,,Eyebrow,,Noun,You,Body Part,Face,Intermediate-Low,N
9,119,Ngirong,,Ilong,,Nose,,Noun,You,Body Part,Face,Novice-High,N
9,120,Tangila,,Dalunggan,,Ear,,Noun,You,Body Part,Face,Novice-High,N
9,121,Ngari,,Baba,,Mouth,,Noun,You,Body Part,Face,Novice-High,N
9,122,Ngipen,,Ngipon,,Teeth,,Noun,You,Body Part,Face,Novice-High,N
9,123,Beneng,,Agtang,,Forehead,,Noun,You,Body Part,Face,Intermediate-Low,N
9,124,Baka,,Suwang,,Chin,,Noun,You,Body Part,Face,Intermediate-Low,N
9,125,Bies,,Aping,,Cheeks,,Noun,You,Body Part,Face,Intermediate-Low,N
9,126,Bok,,Buhok,,Hair,,Noun,You,Body Part,Head,Novice-High,N
9,127,Mataid,,Gwapa,,Beautiful,,Adjective,You,Personal Appearance,Appearance,Novice-Mid,N
9,128,Marata i bontal,,Pangit,,Ugly,,Adjective,You,Personal Appearance,Appearance,Novice-High,N
9,129,Sa,,Sa,,To/from,,Preposition / Case marker,Function Word,Preposition,Preposition,Novice-High,N
9,130,O,,O,,Or,,Conjunction,Function Word,Conjunction,Conjunction,Novice-High,N
9,131,Oway ba,,Diba,,Right,,Particle,Function Word,Tag Question,Tag Question,Novice-High,S
9,132,Oway ba,,Mao jud,,Thats Right,,Expression / Particle phrase,Function Word,Confirmation,Confirmation,Novice-High,S
9,133,Gwapo,,Gwapo,,Handsome,,Adjective,You,Personal Appearance,Appearance,Novice-Mid,S
10,134,Sekami,,Kami,,"We, exclusive",,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,134,Sekami,,Mi,,"We, exclusive",,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,135,Sekano,,Kamo,,You all,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,135,Sekano,,Mo,,You all,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,136,Sekita,,Kita,,"We, inclusive",,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,136,Sekita,,Ta,,"We, inclusive",,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
10,137,Ina,,Inahan,,Mother,,Noun,Home,Family Member,Parent,Novice-Mid,N
10,138,Ama,,Amahan,,Father,,Noun,Home,Family Member,Parent,Novice-Mid,N
10,139,Pagari,,Igsoon,,Sibling,,Noun,Home,Family Member,Sibling,Novice-High,N
10,140,Tenged,,Ig-agaw,,Cousin,,Noun,Home,Family Member,Extended,Novice-High,N
10,141,Wata,,Anak,,Son/daugher,,Noun,Home,Family Member,Offspring,Novice-High,N
10,142,Ama a datu,,Lolo,,Grandfather,,Noun,Home,Family Member,Grandparent,Novice-Mid,N
10,143,Ina a bai,,Lola,,Grandmother,,Noun,Home,Family Member,Grandparent,Novice-Mid,N
10,144,Taw,,Tawo,,People,,Noun,World,Person,General,Novice-Mid,N
11,145,Pageda,,Sakay,,Ride / embark,,Verb,You,Personal Action,Movement,Novice-High,N
11,146,Biyahi,,Biyahe,,Travel,,Noun / Verb,World,Activity,Transportation,Novice-High,N
11,147,Tepad,,Naog,,Debark,,Verb,You,Personal Action,Movement,Novice-High,N
11,148,Lalan,,Dalan,,Road / path,,Noun,World,Location,Infrastructure,Novice-Mid,N
11,149,Trak,,Sakyanan,,Car,,Noun,World,Transportation,Vehicle,Novice-High,N
11,150,Dyip,,Jeep / jeepney,,Jeep,,Noun,World,Transportation,Vehicle,Novice-High,N
11,151,Sikad,,Sikad,,Rickshaw,,Verb / Noun,World,Transportation,Vehicle,Novice-High,N
11,152,Bilding,,Bilding,,Building,,Noun,World,Location,Structure,Novice-High,N
11,153,be,,Lang,,Just,,Particle,Function Word,Limiter,Limiter,Novice-High,N
11,154,Look,,Tunga,,Center,,Noun / Adverb,You,Personal Location,Position,Novice-Mid,N
11,155,Likod,,Likod,,Behind,,Noun / Adverb,You,Personal Location,Position,Novice-Mid,N
13,156,Bilang,,Ihap,,Count,,Verb,You,Personal Action,Calculation,Novice-High,N
13,157,Keilay/miyailay,,Kita,,See/seen,,Verb,You,Personal Action,Vision,Novice-High,N
13,158,Kambaw,,Simhot,,Smell,,Verb,You,Personal Action,Sensory,Novice-High,N
13,159,Keneg,,Dungog,,Hear,,Verb,You,Personal Action,Hearing,Novice-High,N
13,160,Petiroon/tiroon,,Sulti,,Say/speak,,Verb,You,Personal Action,Communication,Novice-High,N
13,161,Iyo/niyo/rekan o,,Inyo,,"Yours, second-person plural",,Pronoun,Function Word,Pronoun,Pronoun,Novice-High,N
13,161,Iyo/niyo/rekan o,,Inyong,,"Your, second-person plural",,Pronoun,Function Word,Possessive,Possessive,Novice-High,N
13,162,Matas,,Taas,,Long,,Adjective,Function Word,Size,Size,Novice-Mid,N
13,163,Mebaba,,Mubo,,Short,,Adjective,Function Word,Size,Size,Novice-Mid,N
13,164,Taman,,Taman,,Until,,Preposition / Particle,Function Word,Boundary,Boundary,Novice-High,N
13,165,Nem,,Unom,,Six,,Numeral,Function Word,Number,Number,Novice-Mid,N
13,166,Pito,,Pito,,Seven,,Numeral,Function Word,Number,Number,Novice-Mid,N
13,167,Walo,,Walo,,Eight,,Numeral,Function Word,Number,Number,Novice-Mid,N
13,168,Siyaw,,Siyam,,Nine,,Numeral,Function Word,Number,Number,Novice-Mid,N
13,169,Sapolo,,Pulo,,Ten,,Numeral,Function Word,Number,Number,Novice-Mid,N
